q0001,q0002,q0004_0001,q0004_0002,q0004_0003,q0004_0004,q0004_0005,q0004_0006,q0005,q0007_0001,q0007_0002,q0007_0003,q0007_0004,q0007_0005,q0007_0006,q0007_0007,q0007_0008,q0007_0009,q0007_0010,q0007_0011,q0008_0001,q0008_0002,q0008_0003,q0008_0004,q0008_0005,q0008_0006,q0008_0007,q0008_0008,q0008_0009,q0008_0010,q0008_0011,q0008_0012,q0009,q0017,q0018,q0020_0001,q0020_0002,q0020_0003,q0020_0004,q0020_0005,q0020_0006,q0021_0001,q0021_0002,q0021_0003,q0021_0004,q0022,q0024,q0025_0001,q0025_0002,q0025_0003,q0026,q0028,q0029,q0030,q0034,q0035,q0036,race2,racethn4,educ3,educ4,age3,kids,orientation,weight
Very masculine,Not at all important,Not selected,Mother or mother figure(s),Not selected,Pop culture,Friends,Not selected,No,Rarely,Rarely,Rarely,Rarely,Rarely,Often,"Never, and not open to it","Never, but open to it",Rarely,"Never, but open to it","Never, but open to it",Your height,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Employed, working full-time",No,Always,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,Other,College graduate,California,"$200,000+",Pacific,iOS Phone / Tablet,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,0.572646779
Very masculine,Not at all important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Not selected,Not selected,Yes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,"Never, and not open to it",Often,Sometimes,Rarely,"Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Employed, working full-time",Yes,Sometimes,Not selected,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,Not selected,No children,Other,White,Some college,Pennsylvania,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet,White,White,Some college,Some college,35 - 64,No children,Other,0.579332702
Somewhat masculine,Not too important,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Yes,Sometimes,Often,Sometimes,Often,"Never, and not open to it",Often,"Never, and not open to it",Rarely,Sometimes,Sometimes,Sometimes,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,Not employed-retired,No,Always,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,Delaware,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.076678628
Very masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Friends,Not selected,No,"Never, but open to it",Sometimes,"Never, but open to it",Rarely,"Never, but open to it",Rarely,"Never, and not open to it",Rarely,"Never, but open to it","Never, but open to it",Sometimes,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Sexual performance or amount of sex,Not selected,Not selected,Not selected,Not selected,Not selected,"Employed, working full-time",Yes,Always,Not selected,Ask for a verbal confirmation of consent,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,Some college,Missouri,Prefer not to answer,West North Central,iOS Phone / Tablet,White,White,Some college,Some college,65 and up,No children,Straight,0.8371719
Somewhat masculine,Not too important,Not selected,Mother or mother figure(s),Not selected,Not selected,Not selected,Not selected,No,"Never, but open to it",Sometimes,Sometimes,Sometimes,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Rarely,"Never, but open to it",Sometimes,Not selected,Your weight,Not selected,Your physique,Appearance of your genitalia,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not employed-retired,Yes,Often,Not selected,Not selected,Not selected,Not selected,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Widowed,Not selected,Not selected,No children,Straight,White,Post graduate degree,Washington,"$25,000-$49,999",Pacific,MacOS Desktop / Laptop,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.019744451
Very masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Friends,Not selected,No answer,Rarely,Rarely,"Never, but open to it","Never, but open to it","Never, and not open to it","Never, but open to it","Never, but open to it","Never, but open to it",Sometimes,"Never, and not open to it",Often,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Sexual performance or amount of sex,Not selected,Not selected,Not selected,Not selected,Not selected,Not employed-retired,No answer,No answer,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,Alabama,"$100,000-$124,999",East South Central,MacOS Desktop / Laptop,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.066180659
Very masculine,Not at all important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Not selected,Not selected,Yes,Sometimes,Sometimes,Often,Rarely,Rarely,Often,"Never, and not open to it",Often,Often,"Never, but open to it",Rarely,Not selected,Your weight,Your hair or hairline,Your physique,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Yes,Always,Read their physical body language to see if they are interested,Not selected,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Yes,Never married,Not selected,Not selected,No children,Straight,White,Post graduate degree,Rhode Island,"$125,000-$149,999",New England,Windows Desktop / Laptop,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.067232193
Very masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Other family members,Pop culture,Friends,Not selected,No,Sometimes,Rarely,"Never, but open to it","Never, but open to it","Never, and not open to it",Rarely,"Never, and not open to it",Often,Sometimes,"Never, but open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,"Employed, working part-time",Yes,Often,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,College graduate,New York,"$100,000-$124,999",Middle Atlantic,Android Phone / Tablet,White,White,College or more,College or more,65 and up,No children,Straight,0.656490054
Very masculine,Not too important,Father or father figure(s),Not selected,Not selected,Not selected,Friends,Other (please specify),Yes,Sometimes,Sometimes,Often,Sometimes,"Never, and not open to it",Sometimes,"Never, and not open to it","Never, but open to it",Rarely,Often,Rarely,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Employed, working full-time",No,Often,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,"Yes, one or more children under 18","Yes, one or more children 18 or older",Not selected,Straight,White,High school or G.E.D.,California,"$75,000-$99,999",Pacific,Windows Desktop / Laptop,White,White,High school or less,High school or less,35 - 64,Has children,Straight,2.05030667
Somewhat masculine,Not at all important,Father or father figure(s),Not selected,Other family members,Not selected,Not selected,Not selected,Yes,Sometimes,Sometimes,Often,"Never, but open to it","Never, and not open to it","Never, and not open to it",Often,Rarely,"Never, but open to it","Never, but open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,Not employed-retired,Yes,Sometimes,Not selected,Not selected,Make a physical move to see how they react,Not selected,Not selected,Not selected,Wondered whether you pushed a partner too far in a past sexual encounter.,Not selected,Not selected,Not selected,No,Married,Not selected,Not selected,No children,Gay,White,Post graduate degree,Florida,"$125,000-$149,999",South Atlantic,iOS Phone / Tablet,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.060690026
